"캠페인 보고서(2026.02.01.~2026.02.28.),1738680",,,,,,,,,,,
캠페인유형,캠페인,광고그룹,키워드,PC/모바일 매체,일별,노출수,클릭수,총비용,구매완료 전환수,구매완료 전환매출액(원),평균노출순위
파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),프로테아제,PC,2026.2.27,7,0,0,0,0,4
파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),프로테아제,PC,2026.2.28,6,0,0,0,0,4
파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),효소다이어트,PC,2026.2.7,1,0,0,0,0,20
파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),효소다이어트,PC,2026.2.19,1,0,0,0,0,17
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),-,PC,2026.2.1,14,0,0,0,0,8.1
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),-,PC,2026.2.2,41,0,0,0,0,5.7
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),-,PC,2026.2.3,51,0,0,0,0,5.1
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),-,PC,2026.2.4,50,2,2266,0,0,4.1
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),-,PC,2026.2.5,68,1,1144,0,0,3.7
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),-,PC,2026.2.6,44,0,0,0,0,4.7
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),-,PC,2026.2.7,22,1,1155,0,0,8.5
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),-,PC,2026.2.8,14,0,0,0,0,9.1
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),-,PC,2026.2.9,50,0,0,0,0,4.6
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),-,PC,2026.2.10,42,0,0,0,0,4.1
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),-,PC,2026.2.11,37,2,2200,0,0,3.2
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),-,PC,2026.2.12,29,0,0,0,0,5.3
